,text
0,
1,
2,"S&P Futures
3,778.75
-42.50(-1.11%)"
3,"Dow Futures
30,682.00
-317.00(-1.02%)"
4,"Nasdaq Futures
11,552.00
-139.00(-1.19%)"
5,"Russell 2000 Futures
1,697.70
-23.70(-1.38%)"
6,"Crude Oil
108.68
-1.10(-1.00%)"
7,
8,"Futures fall, S&P 500 heads for worst first half in 52 years"
9,Strategist: Recession 'barely beginning to be priced in'
10,The bitter battle for Spirit Airlines takes another odd turn
11,Global response to climate will 'change the world over the next 75 years': Costis Maglaras
12,Influencers with Andy Serwer: Costis Maglaras
13,Why this round of tech layoffs feels different
14,"Bed Bath & Beyond is 'in the end days,' analyst says"
15,Big Food shakeup ‘already underway’ amid Kellogg's split
16,Tech stocks are having their worst year ever. Here's what history says happens next: Morning Brief
17,The Most Expensive Divorce Settlements of All-Time
18,"60-Year Wall Street Veteran Says S&P 500 Will Sink to 3,100"
19,"Chip Stocks Are in for Trouble, Analyst Says. 4 Stocks Get Downgrades."
20,Here’s how much your Social Security check is likely to go up next year
21,‘This recession will be the most severe yet’: Peter Schiff called the 2008 financial crash and now says the next downturn will be worse. Here's what he likes for safety
22,China Just Bought These Major US Companies
23,Should I wait for real estate prices to crash before I buy a house? Here are 3 simple reasons why this housing downturn is nothing like 2008
24,How can I 'quiet' my portfolio? Here are 3 top dividend stocks for stable cash return and inflation protection — one of them even offers an incredible 14.9% yield
25,Germany seizes three Gazprom tankers in new blow for Putin - live updates
26,Sell Exxon Mobil and other energy stocks before these headwinds hit prices once again
27,These Maps Will Change Your View Of The World
28,Stock Futures Drop Ahead of Fed’s Favored Inflation Gauge
29,Dow Jones Dives As Inflation Fears Rise; This Stock Pops As Warren Buffett Raises Stake; Nike Plunges
30,RBC Says These 2 Dividend Stocks Have Strong Growth Potential
31,New report reveals major source of recent crypto market chaos
32,12 Foods You Can Eat a Lot of Without Getting Fat
33,"Bitcoin fights to stay above $20,000 as Saylor buys another $10 million worth"
34,‘They’ll chicken out’: Fund legend Rick Rule says the Fed won’t keep hiking rates aggressively to prevent ‘amazing damage.’ Here are 3 spots he likes for your money
35,Pay Fewer Taxes on Your Retirement Income With This Withdrawal Strategy
36,Is Ford Stock A Buy Or Sell After Signing Lithium Supply Deal?
37,These 17 Fashion Items Make You Look Older
38,"Tesla Deliveries Are Coming. The ‘Line in the Sand’ Is 250,000 Cars."
39,2 “Strong Buy” Dividend Stocks With at Least 7% Dividend Yield
40,The bitter battle for Spirit Airlines takes another odd turn
41,"Cathie Wood: I Erred On Inflation, But Recession is Here"
42,Tom Cruise's Stunt Double Is His Spitting Image
43,"Carnival Stock Could Fall to $0 in a Worst-Case Scenario, Analyst Says"
44,"Dow Jones Futures Fall: Inflation, Jobs Data Could Be Catalyst For Ailing Market Rally"
45,"Amazon Shares Could Nearly Triple From Here, One Analyst Says"
46,This veteran money manager has seen it all. And these 19 dividend stocks pass his rigorous quality screen right now.
47,Put A Bottle In Parked Car Tire If Traveling Alone
48,AMD Victim of a Bad Blow at a Very Bad Time
49,Dow Jones Futures Sell Off After Key Inflation Report
50,Carnival Traders Are Voting With Their Feet
51,Micron Earnings Preview: Will Critical Support Hold?
52,Habits That Damage Your Kidneys
53,Ford’s Talk of New EV-Selling Rules Rattles Some Dealers
54,What’s next for the stock market after the worst 1st half since 1970? Here’s the history.
55,Here’s why this trader is piling back into one of the year’s hottest commodities
56,Walgreens profit beats on UK pharmacy sales boost
57,Her Annual Salary Has the Internet Buzzing
58,Billionaire Saylor Makes New Bitcoin Bet Despite Heavy Losses
59,MO Stock: Is Marlboro Maker Altria A Buy As Juul Gets A Temporary Break?
60,"Why the S&P 500 may be in for a 1966-style bear market, according to DWS Group"
61,Two Stocks To Watch As The Oil Industry Battles A Water Crisis
62,Be 100% Sure If You'll Be Accepted
63,Bull Market Never Ended for Analysts Wedded to 100% Price Rally Calls
64,Shopify Shares Slide After Completing 10-for-1 Stock Split
65,Cathie Wood's flagship fund has taken in over $600 million since mid-June
66,You're More Likely to Have Guaranteed Retirement Income If You Do This
67,"Wrap Foil Around Doorknobs When Alone, Here's Why"
68,"Financier Chanos Sees Golden Opportunity For Amazon, Microsoft, Google"
69,Walgreens Stock Falls Even as Earnings Top Expectations
70,"Tech Is at Risk as J.P. Morgan Lowers Estimates on 26 Stocks. Amazon, Booking, and Uber Are Its Top Picks."
71,Bitcoin Drops to Nearly $19K as Fed Renews Inflation Warnings
72,Looking for dealmaking opportunities for startups?
73,Wall Street’s favorite stock sector has potential upside of 43% as we enter the second half of 2022
74,"The bottom of the bear market is still 10% away, Morgan Stanley Wealth Management says. And the odds of a recession have doubled, too"
75,Dow futures down over 300 points as losing first half closes and Fed’s favorite inflation gauge looms
76,Why This Crypto Crash Is Different
77,Why You Should Always Put Plastic Bottle on Tires
78,Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio?
79,Tesla workers are returning to office only to find there aren’t enough desks or parking spots for them
80,Here's What Rosenblatt Expects From Micron's Upcoming Quarterly Results
81,PayPal Stock Keeps Falling; Why This Bear Call Spread Could Bag A $185 Profit
82,Man Finds Tiny Creature In Backyard
83,A Crypto Winter Is Setting In. Why the Outlook Is Different This Time.
84,AT&T Makes BofA List of Potential Reshoring Beneficiaries
85,Crypto Crash Exposes Robinhood and Coinbase To Predators
86,"Stock market: Recession 'just barely beginning to be priced in,' strategist says"
87,Here's How These Maps Will Change Your Perspective
88,"6 Stocks Amazingly Turned $10,000 To $53,492 In Six Months"
89,2 Contraceptive Stocks That Could Benefit From Roe v. Wade Reversal
90,"Bitcoin, crypto fall amid reports of 3AC’s court-ordered liquidation"
91,Chinese Professor Loses $2.4 Billion After SenseTime Slumps
92,Hilarious Lost And Found Signs People Have Seen
93,Bitcoin’s Next Headwind: Struggling Crypto Miners
94,"Tesla: Street Expectations for Q2 Deliveries Are Too High, Says Analyst"
95,Drugmaker Endo Faces Bond Decision as Creditors Mull Bankruptcy
96,"Here’s how far oil could fall in a recession, judging by past experiences"
97,Big food shakeup ‘already underway’ amid Kellogg's split — here's who could be next
98,Mapan’s services helps low-income Indonesians users afford goods and services
99,Is Merck Stock A Buy After Hitting A Fresh High On Cancer Treatment News?
100,Top Natural Gas Stocks for Q3 2022
101,Michael Saylor’s MicroStrategy buys more Bitcoin
102,Chip Design Firms Upgraded As Chipmakers Downgraded
103,Dow Jones Up As Powell Issues This Inflation Warning; Tesla Stock Falls Amid This Move; Apple Pops
104,"Amazon, Boeing and Meta Make Morningstar List of Undervalued Stocks"
105,"Stock market news lives updates: Futures fall, S&P 500 heads for worst first half in 52 years"
106,"Qualcomm Stock Rises As Apple's 5G Modem Chip 'Fails,' Analyst Says"
107,MVP Southgate pipeline project gets win in court
108,Why Congress’ new retirement reforms aren’t all they’re cracked up to be
109,JPMorgan Says Crypto’s Deleveraging Cycle Won’t Last Much Longer
110,Exxon Mobil to Sell Canadian Shale Gas Assets for About $1.5 Billion
111,Crypto Winter Is Coming After SEC Rejects Key Bitcoin ETF
